file_id,voltage_measured_mean,voltage_measured_std,voltage_measured_min,voltage_measured_max,current_measured_mean,current_measured_std,current_measured_min,current_measured_max,temperature_measured_mean,temperature_measured_std,temperature_measured_min,temperature_measured_max,voltage_charge_mean,voltage_charge_max,current_charge_mean,current_charge_max,time_max,cycle_discharge_capacity_Ah,cycle_charge_capacity_Ah,cycle_efficiency
1,3.4752664759657903,0.28462557967353197,2.470611866932728,4.246764125510136,-0.9527668403077523,0.20144763569935936,-1.00110134824347,0.000252388610586,8.272422519178683,1.4552687842061118,5.0080842944609065,12.376815880696888,,,,,6436.141,-1.7059871630015877,0.0,-inf
2,3.407772850136157,0.04480935209957935,3.33255715196901,3.4829885483033043,4.5303391621698865e-05,0.0007835928897207,-0.0012700132446952,0.0013606200279386,7.373261543496787,0.7903538337213708,6.046596179750202,8.699926907243372,,,,,6304.791183673469,-0.0001256790084749915,0.0,-inf
3,4.193520837869665,0.054021759160469605,3.486189216310417,4.214594585505835,0.5207924895446029,0.5257079730405951,0.001416590948633,1.4943144350434685,6.279191330194547,1.0805343579016935,4.358202275987088,8.793624097800858,4.508324491054904,5.011,0.5235513880320789,1.4995,10803.313,1.540807251901595,1.5489702843333333,0.994730026447698
4,4.200429063211301,0.007881916366536382,4.187198703596047,4.213659422826555,0.024928795954099053,0.01519688778464499,-0.0005802656844121,0.0504378575926104,5.578508200219766,0.0706008460952302,5.459999637131343,5.697016763308191,4.0446014644351465,4.254085774058577,0.050632217573221706,0.0532870292887029,10582.837224489796,-0.07019362889359614,-0.1455788938292487,0.48216899474402597
5,3.4765588189090355,0.272494917563687,2.477661652422805,4.186635709569866,-0.9838885014038207,0.10670769250195593,-0.9981417400029184,-0.0015358996096327,8.210715424489036,1.2401611202727847,5.454956719553112,11.314903320182369,1.9185585774058578,3.826202928870293,0.023688702928870247,0.0478644351464435,5650.265,-1.5485911041185842,0.03696653145746157,-41.89170698637473
6,4.187504197003788,0.07452189175825126,3.2527192825719458,4.214574140334718,0.5186862418251199,0.5179496336783916,-0.0023061368707441,1.4959111231788296,6.4143510033004505,1.2701481170984832,4.161258444205254,10.1455937779198,4.512446571957999,5.011,0.5213856084002471,1.4995,10802.077999999994,1.5370447336411535,1.5450339349166664,0.9948291095134141
7,3.4707669643372343,0.27853480393369395,2.4707098734854784,4.199922751479228,-0.9838892612061609,0.10731479696293067,-1.0003069695936524,-0.000745698662656,7.954455063989402,1.4168823008236935,4.9221781193622345,11.624528187721143,2.1325,4.252974117647058,0.026649999999999955,0.0537717647058823,5590.907,-1.532369181752867,0.04115222925947705,-37.23660198554065
8,4.189655069774906,0.07173332552383381,3.255398852175642,4.214573442739502,0.5135277214530581,0.5133076569362574,-0.0024767839039715,1.4934226098552212,6.263927129839187,1.2277957863331461,3.948084866830133,9.371285850326036,4.50349782473586,4.998,0.5164151025481666,1.4995,10807.688,1.5206921084928409,1.5292431666666666,0.9944083070892743
9,3.467551433704293,0.2784157777923235,2.465457800547402,4.199568876812779,-0.9789465319710106,0.1274994105141163,-0.9982799264042614,0.0003032433409723,7.985864710265717,1.3781590080157606,4.553269274801158,11.0929238810592,2.1325,4.252854761904762,0.02749999999999995,0.0554661904761904,5543.61,-1.5116883765494797,0.04208909394404754,-35.916391513656485
10,4.191917514720391,0.06764595176288116,3.3028547514790385,4.21468419824127,0.5073739203979963,0.5103028637232402,-0.0007779109162341,1.4941138234992282,6.251469678656883,1.2248262278660855,4.02152139767389,9.599392228576075,4.489251564455569,5.011,0.5102618898623279,1.4995,10805.687,1.5029020889441034,1.5114628411388888,0.9943361146818965
